"Date","FLUXNET site ID","Koppen (climate)","IGBP (vegetation)","Evapotranspiration (mm)","Air temperature (°C)","Shortwave radiation (W/m2)","Longwave radiation (W/m2)","Atmospheric pressure(kPa)","2-m wind speed (m/s)","Relative humidity (%)","Specific humidity (kg/kg)"
2014-01-05,"AU-Rig","Temperate","Grassland",0.65040798556125,18.22375,359.270833333333,313.791666666667,98.5204166666667,2.71541639259416,46.0833333333333,0.00610812596100298
2014-01-06,"AU-Rig","Temperate","Grassland",0.536206170910821,15.8779166666667,352.4375,298.3125,99.3164583333333,3.56164442609385,42.5833333333333,0.00482168469642467
2014-01-07,"AU-Rig","Temperate","Grassland",0.448528910242096,16.6958333333333,398.375,293.333333333333,99.68,3.65392363818547,42.0416666666667,0.00499740712827253
2014-01-08,"AU-Rig","Temperate","Grassland",0.524949835501419,20.7758333333333,359.229166666667,329.666666666667,99.576875,1.54118227687777,38.5208333333333,0.00592004281896617
2014-01-09,"AU-Rig","Temperate","Grassland",0.591488310820094,22.5404166666667,287.416666666667,360.833333333333,99.6358333333333,2.27476429670701,44.75,0.00766517740974056
2014-01-10,"AU-Rig","Temperate","Grassland",0.598283068363353,24.9058333333333,378.4375,360.479166666667,99.5764583333333,1.51402654143936,44.1458333333333,0.00873086562259544
2014-01-11,"AU-Rig","Temperate","Grassland",0.46851856130081,26.1575,337.145833333333,371.833333333333,99.388125,2.40944291517181,40.3541666666667,0.00861315431889785
2014-01-12,"AU-Rig","Temperate","Grassland",0.692831632021619,26.4197916666667,394.541666666667,341.333333333333,99.3472916666667,3.42243985172265,33.125,0.00717736021571541
2014-01-13,"AU-Rig","Temperate","Grassland",0.690967050794612,27.870625,377.4375,361.333333333333,99.2833333333333,1.51525232116401,30.2083333333333,0.00713206285496433
2014-01-14,"AU-Rig","Temperate","Grassland",0.527051006479962,32.2258333333333,365.401041666667,397,99.23,2.3912133705488,25.125,0.0076264526124577
2014-01-15,"AU-Rig","Temperate","Grassland",0.837786027623192,34.891875,365.583333333333,413.3125,99.3733333333333,2.27979313660302,20.0416666666667,0.00705137063260718
2014-01-16,"AU-Rig","Temperate","Grassland",0.909783456643758,36.0502083333333,342.583333333333,420.208333333333,99.16625,1.67680380282307,18.7708333333333,0.0070557418712237
2014-01-18,"AU-Rig","Temperate","Grassland",0.44111641610666,28.5604166666667,284.125,393.125,98.6495833333333,3.4260543303979,36.8541666666667,0.0091272254902996
